FID,name,stadt,plz,strasse,hausnr,etage,raumnummer,oeffnungszeiten,kategorie,preis,wickeln,standort_beschreibung,zustand,einschraenkungen,mail,website,telefon,zustaendiges_referat,erzeugt_bearbeitet,din_18040_1,toilette_fuer_alle,eignung_blindenhunde,eingangstuer_typ,eingangstuer_glasmarkierung,eingangstuer_klingel_taster,eingangstuer_leichte_fuehrung,eingangstuer_radar_schluessel,eingangstuer_euro_schluessel,eingangstuer_wendekreis,eingangstuer_breite,rampe,rampe_steigung,treppe_vorhanden,treppe_antirutsch,treppe_blindenschrift,treppe_gelaender,treppe_kontrast_visuell,treppe_kontrast_taktil,treppe_stufenanzahl,treppe_stufenhoehe,rollstuhllift,eingangsbereich_beschreibung,gebaeudeinneres_gangbreite,gebaeudeinneres_induktionsschleifen,gebaeudeinneres_fuehrungsrillen,gebaeudeinneres_ruhig,gebaeudeinneres_beleuchtet,aufzug_vorhanden,aufzug_tuerbreite,aufzug_tiefe,aufzug_breite,wctuer_typ,wctuer_glasmarkierung,wctuer_klingel_taster,wctuer_leichte_fuehrung,wctuer_radar_schluessel,wctuer_euro_schluessel,wctuer_wendekreis,wctuer_breite,wctuer_bemerkung,wc_badewanne,wc_dusche,wc_spiegel,wc_gelaender,wc_deckenlifter,wc_standlifter,wc_liege,wc_spiegelhoehe,wc_handtuchspenderhoehe,wc_seifenspender_hoehe,wc_waschbecken_oberkante,wc_waschbecken_hoehe_unterfahrbar,wc_waschbecken_tiefe_unterfahrbar,wc_buegel_rechts,wc_buegel_links,wc_buegel_distanz,wc_buegelhoehe,wc_sitzhoehe,wc_platz_davor,wc_platz_rechts,wc_platz_links,wc_spuelknopf_hinten,wc_spuelknopf_rechts,wc_spuelknopf_links,wc_spuelknopf_hoehe,wc_position_notruf,wc_hoehe_notruf,wc_bermerkung,foto,shape
wc_finder_opendata.1,Öffentliche Toilette DSMDecaux GmbH,München,80804,"Brunnerstraße, 40m n. Burgunderstr. ggü,v. Spielpl. im Luitpoldpark",,EG,6002 (DSMDecaux),Durchgehend,divers/unisex,0.5,,,voll funktionsfähig,,info@dsmdecaux.de,,,DSMDecaux GmbH,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (690895.8300008213 5338610.019998008)
wc_finder_opendata.2,Öffentliche Toilette DSMDecaux GmbH,München,80339,"10m v. Gollierpl., ggü Trappentreustr. 23",,EG,6003 (DSMDecaux GmbH),Durchgehend,divers/unisex,0.5,,,voll funktionsfähig,,info@dsmdecaux.de,,,DSMDecaux GmbH,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (688566.0000007733 5334578.0999981575)
wc_finder_opendata.3,Öffentliche Toilette DSMDecaux GmbH,München,80992,"36m v. Großbeerenstr., v. Hs.Nr. 3, Wendeschleife",,EG,6004 (DSMDecaux GmbH),Durchgehend,divers/unisex,0.5,,,voll funktionsfähig,,info@dsmdecaux.de,,,DSMDecaux GmbH,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (686327.1300007277 5339290.969998273)
wc_finder_opendata.4,Öffentliche Toilette DSMDecaux GmbH,München,81667,"17m v. Orleansstr., ggü. Hs.Nr. 2",,EG,6005 (DSMDecaux GmbH),Durchgehend,divers/unisex,0.5,,,voll funktionsfähig,,info@dsmdecaux.de,,,DSMDecaux GmbH,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (693678.1400008835 5333795.669997834)
wc_finder_opendata.5,Besuchertoilette Westfriedhof,München,80637,Baldurstraße,28,EG,,Täglich währen der Öffnungszeiten des Friedhofes,männlich,,0,Vor dem Eingang zu Aufbahrung an der Straßenseite,voll funktionsfähig,,im-bfv.kom@muenchen.de,,089/23326198,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (687776.6700007569 5338200.429998195)
wc_finder_opendata.6,Besuchertoilette Westfriedhof,München,80637,Baldurstraße,28,EG,,Täglich währen der Öffnungszeiten des Friedhofes,weiblich,,0,Vor dem Eingang zu Aufbahrung an der Straßenseite,voll funktionsfähig,,im-bfv.kom@muenchen.de,,089/23326198,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (687779.0500007567 5338200.709998195)
wc_finder_opendata.7,Besuchertoilette Friedhof Feldmoching,München,80995,Am Gottesackerweg,53,EG,,Täglich währen der Öffnungszeiten des Friedhofes,männlich,,0,Im Friedhof bei der Aussegnungshalle,voll funktionsfähig,,im-bfv.kom@muenchen.de,,089/23326199,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (687633.6200007529 5343394.459998193)
wc_finder_opendata.8,Besuchertoilette Friedhof Feldmoching,München,80996,Am Gottesackerweg,54,EG,,Täglich währen der Öffnungszeiten des Friedhofes,weiblich,,0,Im Friedhof bei der Aussegnungshalle,voll funktionsfähig,,im-bfv.kom@muenchen.de,,089/23326200,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (687634.1800007529 5343390.819998194)
wc_finder_opendata.9,"Öffentliche Toilette ""Friedhof Lochhausen""",München,81249,Schussenrieder Straße,36,EG,0.4.1.002,Saisonal abhängig von Öffnungszeiten der städt. Friedhöfe,weiblich,,0,,voll funktionsfähig,,im-bfv.kom@muenchen.de,,891465590,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (678870.0222005935 5339559.436998619)
wc_finder_opendata.10,"Öffentliche Toilette ""Friedhof Lochhausen""",München,81249,Schussenrieder Straße,36,EG,0.4.1.003,Saisonal abhängig von Öffnungszeiten der städt. Friedhöfe,männlich,,0,,voll funktionsfähig,,im-bfv.kom@muenchen.de,,,Kommunalreferat,06.09.2023 / 06.09.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (678870.5800005933 5339556.989998619)
